img,title,url,best_price,product_id
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    ASUS ROG Strix G17 G712LU-EV008TS Laptop
                ",https://www.mysmartprice.com/computer/asus-asus-rog-strix-g17-g712lu-ev008ts-laptop-msf585676,"99,990",
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    ASUS Zenbook 14 UX435EG-AI501TS Laptop
                ",https://www.mysmartprice.com/computer/asus-asus-zenbook-14-ux435eg-ai501ts-laptop-msf585282,"68,690",
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    Lenovo Legion 5 15ACH6 (82JW00CMIN) Laptop
                ",https://www.mysmartprice.com/computer/lenovo-legion-5-15ach6-82jw00cmin-laptop-msf592238,"64,990",
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    Dell Inspiron 14 7420 (D560779WIN9S) Laptop
                ",https://www.mysmartprice.com/computer/dell-inspiron-14-7420-d560779win9s-laptop-msf597186,"84,454",
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    HP 15q-dy0014AU (1F5D2PA) Laptop
                ",https://www.mysmartprice.com/computer/hp-15q-dy0014au-1f5d2pa-laptop-msf580571,"26,990",
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    Dell Inspiron 15 3576 (B566108WIN9) Laptop
                ",https://www.mysmartprice.com/computer/dell-inspiron-15-3576-b566108win9-laptop-msf576166,"35,499",
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    Acer Swift 3 SF315-52G (NX.H1NSI.001) Laptop
                ",https://www.mysmartprice.com/computer/acer-swift-3-sf315-52g-nx.h1nsi.001-laptop-msf576308,"52,891",
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    Acer Swift 3 SF315-52G-52XD (NX.H1NSI.002) Laptop
                ",https://www.mysmartprice.com/computer/acer-swift-3-sf315-52g-52xd-nx.h1nsi.002-laptop-msf576128,"52,891",
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    HP Pavilion 15-ab031TX (M2W74PA) Laptop
                ",https://www.mysmartprice.com/computer/hp-pavilion-15-ab031tx-m2w74pa-laptop-msf578626,"39,990",
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    HP 15-da0073tx (4TT05PA) Laptop
                ",https://www.mysmartprice.com/computer/hp-15-da0073tx-4tt05pa-laptop-msf576397,"33,894",
